owner_repo,status,size_kb,duration_sec,notes
MartinPetkov/GCTF2021BeginnersQuestWriteups,too_large,0,21,size=236MB>cap=100MB(main)
SECCON/SECCON13_final_CTF,extract_failed,0,8,tar: SECCON13_final_CTF-main/reversing/Allegro/phase/4/files: Cannot mkdir: No space left on device tar: SECCON13_final_CTF-main/reversing/Allegro/phase/4/files: Cannot mkdir: No space left on device 
SandWithCheese/ctf-writeups,download_failed,0,57,
Tan-JunWei/CTF-Writeups,download_failed,0,1,curl: (22) The requested URL returned error: 403 
daffainfo/ctf-writeup,too_large,0,28,size=335MB>cap=100MB(main)
google/google-ctf,download_failed,0,77,
hackplayers/hackthebox-writeups,download_failed,0,59,
justcatthefish/justctf-2023,too_large,0,39,size=470MB>cap=100MB(main)
mephi42/ctf,too_large,0,38,size=429MB>cap=100MB(master)
p4-team/ctf,too_large,0,26,size=301MB>cap=100MB(master)
project-sekai-ctf/sekaictf-2024,too_large,0,23,size=248MB>cap=100MB(main)
sajjadium/ctf-archives,download_failed,0,58,
shekkbuilder/ctf-2,too_large,0,14,size=147MB>cap=100MB(master)
sigpwny/UIUCTF-2023-Public,too_large,0,13,size=156MB>cap=100MB(main)
silly-lily/CTF-Writeups,too_large,0,25,size=237MB>cap=100MB(main)
